Date,Time,Day,Comp,Round_For,Venue,Result_For,HomeTeam,AwayTeam,HomeGoals,AwayGoals,xG_For,xGA_For,Poss_For,HomeCaptain,HomeFormation,Opp Formation_For,Sh_For,SoT_For,SoT%_For,G/Sh_For,G/SoT_For,Dist_For,FK_For,PK_For,PKatt_For,npxG_For,npxG/Sh_For,G-xG_For,np:G-xG_For,Att_For,Live_For,Dead_For,TB_For,Sw_For,Crs_For,TI_For,CK_For,In_For,Out_For,Str_For,Cmp_For,Off_For,Blocks_For,Cmp%_For,TotDist_For,PrgDist_For,Ast_For,xAG_For,xA_For,KP_For,1/3_For,PPA_For,CrsPA_For,PrgP_For,SCA_For,PassLive_For,PassDead_For,TO_For,Fld_For,Def_For,GCA_For,Tkl_For,TklW_For,Def 3rd_For,Mid 3rd_For,Att 3rd_For,Tkl%_For,Lost_For,Pass_For,Int_For,Tkl+Int_For,Clr_For,Err_For,Touches_For,Def Pen_For,Att Pen_For,Succ_For,Succ%_For,Tkld_For,Tkld%_For,Carries_For,PrgC_For,CPA_For,Mis_For,Dis_For,Rec_For,PrgR_For,CrdY_For,CrdR_For,2CrdY_For,Fls_For,PKwon_For,PKcon_For,OG_For,Recov_For,Won_For,Won%_For,GF_ForAway,GA_ForAway,xG_ForAway,xGA_ForAway,Poss_ForAway,Captain_ForAway,Formation_ForAway,Opp Formation_ForAway,Match Report_ForAway,Sh_ForAway,SoT_ForAway,SoT%_ForAway,G/Sh_ForAway,G/SoT_ForAway,Dist_ForAway,FK_ForAway,PK_ForAway,PKatt_ForAway,npxG_ForAway,npxG/Sh_ForAway,G-xG_ForAway,np:G-xG_ForAway,Att_ForAway,Live_ForAway,Dead_ForAway,TB_ForAway,Sw_ForAway,Crs_ForAway,TI_ForAway,CK_ForAway,In_ForAway,Out_ForAway,Str_ForAway,Cmp_ForAway,Off_ForAway,Blocks_ForAway,Cmp%_ForAway,TotDist_ForAway,PrgDist_ForAway,Ast_ForAway,xAG_ForAway,xA_ForAway,KP_ForAway,1/3_ForAway,PPA_ForAway,CrsPA_ForAway,PrgP_ForAway,SCA_ForAway,PassLive_ForAway,PassDead_ForAway,TO_ForAway,Fld_ForAway,Def_ForAway,GCA_ForAway,Tkl_ForAway,TklW_ForAway,Def 3rd_ForAway,Mid 3rd_ForAway,Att 3rd_ForAway,Tkl%_ForAway,Lost_ForAway,Pass_ForAway,Int_ForAway,Tkl+Int_ForAway,Clr_ForAway,Err_ForAway,Touches_ForAway,Def Pen_ForAway,Att Pen_ForAway,Succ_ForAway,Succ%_ForAway,Tkld_ForAway,Tkld%_ForAway,Carries_ForAway,PrgC_ForAway,CPA_ForAway,Mis_ForAway,Dis_ForAway,Rec_ForAway,PrgR_ForAway,CrdY_ForAway,CrdR_ForAway,2CrdY_ForAway,Fls_ForAway,PKwon_ForAway,PKcon_ForAway,OG_ForAway,Recov_ForAway,Won_ForAway,Won%_ForAway
2024-08-16,20:00,Fri,Premier League,Matchweek 1,Home,W,Manchester United,Fulham,1,0,2.4,0.4,55,Bruno Fernandes,4-2-3-1,4-2-3-1,14,5,35.7,0.07,0.2,17.6,0.0,0,0,2.4,0.17,-1.4,-1.4,524.0,483.0,38.0,1.0,2.0,18,15.0,7.0,3.0,2.0,0.0,430.0,3.0,7.0,82.1,6600.0,2181.0,1,2.0,1.0,10.0,31.0,7.0,2.0,43.0,24.0,23.0,1.0,0.0,0.0,0.0,2.0,21.0,14,9.0,9.0,3.0,60.0,8.0,8.0,19,40,22.0,0.0,640.0,67.0,22.0,8.0,38.1,11.0,52.4,420.0,15.0,4.0,10.0,13.0,428.0,43.0,2,0,0,12,0.0,0.0,0.0,58.0,19.0,54.3,0,1,0.4,2.4,45,Bernd Leno,4-2-3-1,4-2-3-1,Match Report,10,2,20.0,0.0,0.0,16.9,0.0,0,0,0.4,0.04,-0.4,-0.4,424.0,372.0,51.0,2.0,0.0,21,15.0,8.0,6.0,2.0,0.0,329.0,1.0,10.0,77.6,5642.0,2143.0,0,0.4,0.5,9.0,20.0,4.0,1.0,28.0,19.0,11.0,5.0,1.0,1.0,0.0,0.0,24.0,17,12.0,11.0,1.0,57.9,8.0,7.0,9,33,18.0,2.0,540.0,75.0,21.0,8.0,36.4,12.0,54.5,329.0,17.0,7.0,17.0,9.0,322.0,28.0,3,0,0,10,0.0,0.0,0.0,53.0,16.0,45.7
2024-08-17,15:00,Sat,Premier League,Matchweek 1,Home,L,Everton,Brighton,0,3,0.5,1.4,40,James Tarkowski,4-2-3-1,4-2-3-1,9,1,11.1,0.0,0.0,18.4,0.0,0,0,0.5,0.05,-0.5,-0.5,399.0,347.0,45.0,0.0,8.0,17,27.0,1.0,0.0,1.0,0.0,298.0,7.0,7.0,74.7,6517.0,2622.0,0,0.2,0.7,4.0,32.0,6.0,1.0,29.0,15.0,11.0,1.0,0.0,1.0,1.0,0.0,23.0,11,10.0,7.0,6.0,66.7,6.0,10.0,13,36,11.0,1.0,499.0,52.0,18.0,5.0,31.3,11.0,68.8,263.0,12.0,4.0,13.0,10.0,291.0,27.0,1,1,0,8,0.0,0.0,0.0,45.0,18.0,58.1,0,2,0.5,1.2,47,Mario Lemina,4-2-3-1,4-3-3,Match Report,9,3,33.3,0.0,0.0,19.3,1.0,0,0,0.5,0.05,-0.5,-0.5,406.0,361.0,44.0,1.0,1.0,14,15.0,2.0,1.0,1.0,0.0,324.0,1.0,6.0,79.8,5925.0,2051.0,0,0.2,0.3,4.0,39.0,5.0,4.0,24.0,13.0,10.0,1.0,0.0,1.0,1.0,0.0,19.0,12,15.0,3.0,1.0,52.6,9.0,7.0,7,26,13.0,0.0,493.0,68.0,16.0,8.0,44.4,8.0,44.4,306.0,12.0,6.0,16.0,10.0,318.0,24.0,2,0,0,14,0.0,0.0,0.0,36.0,13.0,43.3
2024-08-17,12:30,Sat,Premier League,Matchweek 1,Home,L,Ipswich Town,Liverpool,0,2,0.5,2.6,38,Sam Morsy,4-2-3-1,4-2-3-1,7,2,28.6,0.0,0.0,16.0,0.0,0,0,0.5,0.06,-0.5,-0.5,381.0,333.0,43.0,0.0,2.0,8,14.0,2.0,0.0,1.0,0.0,290.0,5.0,13.0,76.1,4991.0,2077.0,0,0.3,0.2,4.0,19.0,5.0,0.0,21.0,12.0,6.0,4.0,1.0,1.0,0.0,0.0,20.0,10,17.0,2.0,1.0,50.0,11.0,9.0,9,29,28.0,0.0,497.0,125.0,16.0,3.0,30.0,5.0,50.0,254.0,16.0,5.0,11.0,4.0,286.0,21.0,3,0,0,9,0.0,0.0,0.0,36.0,11.0,37.9,2,1,2.0,2.3,48,John McGinn,4-2-3-1,4-1-4-1,Match Report,15,3,20.0,0.13,0.67,15.2,0.0,0,0,2.0,0.14,0.0,0.0,433.0,383.0,49.0,4.0,1.0,15,19.0,3.0,3.0,0.0,0.0,348.0,1.0,11.0,80.4,6106.0,2145.0,2,1.7,0.9,12.0,28.0,6.0,0.0,25.0,23.0,16.0,2.0,2.0,0.0,0.0,3.0,24.0,15,8.0,13.0,3.0,60.0,4.0,9.0,7,31,22.0,0.0,561.0,67.0,21.0,8.0,53.3,7.0,46.7,310.0,23.0,4.0,15.0,7.0,344.0,25.0,2,0,0,11,0.0,1.0,0.0,38.0,12.0,46.2
2024-08-17,15:00,Sat,Premier League,Matchweek 1,Home,W,Newcastle United,Southampton,1,0,0.3,1.8,23,Bruno Guimarães,4-3-3,3-5-2,3,1,33.3,0.33,1.0,13.2,0.0,0,0,0.3,0.08,0.7,0.7,207.0,163.0,43.0,0.0,1.0,12,11.0,3.0,3.0,0.0,0.0,128.0,1.0,6.0,61.8,2221.0,1134.0,1,0.3,0.2,3.0,6.0,4.0,0.0,15.0,6.0,2.0,1.0,0.0,2.0,1.0,2.0,16.0,14,8.0,7.0,1.0,53.8,6.0,13.0,4,20,39.0,0.0,317.0,84.0,12.0,1.0,14.3,5.0,71.4,108.0,8.0,1.0,10.0,8.0,127.0,15.0,2,1,0,15,0.0,0.0,0.0,31.0,7.0,43.8,2,0,2.6,0.5,62,Virgil van Dijk,4-2-3-1,4-2-3-1,Match Report,18,5,27.8,0.11,0.4,14.8,0.0,0,0,2.6,0.15,-0.6,-0.6,620.0,567.0,53.0,6.0,4.0,23,24.0,10.0,8.0,1.0,0.0,520.0,0.0,9.0,83.9,8751.0,3005.0,1,2.0,2.4,12.0,35.0,10.0,1.0,39.0,29.0,24.0,0.0,2.0,0.0,0.0,4.0,9.0,4,4.0,2.0,3.0,62.5,3.0,12.0,5,14,17.0,1.0,720.0,83.0,46.0,11.0,47.8,11.0,47.8,407.0,25.0,12.0,9.0,9.0,514.0,38.0,1,0,0,18,0.0,0.0,0.0,40.0,18.0,62.1
2024-08-17,15:00,Sat,Premier League,Matchweek 1,Home,D,Nottingham Forest,Bournemouth,1,1,1.3,1.2,53,Morgan Gibbs-White,4-2-3-1,4-2-3-1,14,8,57.1,0.07,0.13,19.2,0.0,0,0,1.3,0.1,-0.3,-0.3,543.0,490.0,52.0,1.0,0.0,13,23.0,2.0,2.0,0.0,0.0,420.0,1.0,12.0,77.3,6760.0,2706.0,0,0.5,0.8,11.0,24.0,11.0,2.0,37.0,26.0,22.0,1.0,0.0,0.0,0.0,1.0,24.0,12,11.0,11.0,2.0,66.7,5.0,9.0,7,31,26.0,0.0,677.0,87.0,28.0,9.0,39.1,10.0,43.5,299.0,18.0,3.0,12.0,8.0,410.0,35.0,1,0,0,17,0.0,0.0,0.0,49.0,25.0,62.5,1,1,1.2,1.3,47,Neto,4-2-3-1,4-2-3-1,Match Report,13,4,30.8,0.08,0.25,19.6,1.0,0,0,1.2,0.09,-0.2,-0.2,485.0,433.0,48.0,0.0,3.0,25,18.0,6.0,4.0,0.0,0.0,363.0,4.0,11.0,74.8,6628.0,2447.0,0,0.5,0.5,7.0,33.0,6.0,0.0,49.0,24.0,19.0,2.0,0.0,1.0,1.0,2.0,18.0,7,8.0,7.0,3.0,52.6,9.0,10.0,14,32,29.0,1.0,628.0,71.0,22.0,5.0,25.0,10.0,50.0,327.0,18.0,5.0,8.0,14.0,359.0,49.0,3,0,0,8,0.0,0.0,0.0,57.0,15.0,37.5
2024-08-17,15:00,Sat,Premier League,Matchweek 1,Home,W,Arsenal,Wolves,2,0,1.2,0.5,53,Martin Ødegaard,4-3-3,4-2-3-1,18,6,33.3,0.11,0.33,17.3,0.0,0,0,1.2,0.07,0.8,0.8,458.0,410.0,48.0,0.0,4.0,15,18.0,8.0,6.0,0.0,0.0,382.0,0.0,7.0,83.4,6872.0,2400.0,2,1.2,0.9,17.0,24.0,17.0,2.0,53.0,35.0,29.0,3.0,1.0,0.0,0.0,4.0,18.0,13,9.0,6.0,3.0,50.0,8.0,5.0,8,26,16.0,2.0,569.0,63.0,42.0,9.0,40.9,10.0,45.5,340.0,18.0,10.0,13.0,9.0,376.0,52.0,2,0,0,17,0.0,0.0,0.0,30.0,17.0,56.7,0,1,1.8,0.3,77,Jack Stephens,3-5-2,4-3-3,Match Report,19,3,15.8,0.0,0.0,17.0,1.0,0,0,1.8,0.1,-1.8,-1.8,702.0,650.0,50.0,1.0,3.0,30,18.0,12.0,5.0,2.0,0.0,604.0,2.0,17.0,86.0,9503.0,2647.0,0,1.5,1.6,15.0,58.0,14.0,3.0,62.0,34.0,28.0,0.0,0.0,2.0,0.0,0.0,13.0,6,4.0,3.0,6.0,83.3,1.0,6.0,3,16,13.0,1.0,788.0,51.0,46.0,6.0,42.9,7.0,50.0,476.0,31.0,9.0,10.0,9.0,597.0,61.0,4,0,0,16,0.0,0.0,0.0,35.0,9.0,56.3
2024-08-17,17:30,Sat,Premier League,Matchweek 1,Home,L,West Ham United,Aston Villa,1,2,2.3,2.0,52,Jarrod Bowen,4-1-4-1,4-2-3-1,13,2,15.4,0.0,0.0,13.6,0.0,1,1,1.5,0.13,-1.3,-1.5,464.0,423.0,40.0,0.0,4.0,25,14.0,5.0,4.0,1.0,0.0,377.0,1.0,11.0,81.3,6787.0,2273.0,0,1.1,1.1,10.0,20.0,9.0,3.0,30.0,26.0,19.0,2.0,2.0,1.0,0.0,2.0,14.0,10,9.0,5.0,0.0,46.7,8.0,8.0,6,20,24.0,0.0,571.0,66.0,22.0,4.0,36.4,6.0,54.5,327.0,20.0,6.0,16.0,18.0,372.0,30.0,1,0,0,18,1.0,0.0,0.0,39.0,14.0,53.8,3,0,1.4,0.5,60,Lewis Dunk,4-2-3-1,4-2-3-1,Match Report,10,5,50.0,0.3,0.6,13.8,0.0,0,0,1.4,0.14,1.6,1.6,605.0,557.0,47.0,1.0,4.0,14,14.0,5.0,2.0,2.0,0.0,510.0,1.0,10.0,84.3,8272.0,3083.0,3,1.4,1.0,10.0,20.0,7.0,1.0,38.0,19.0,13.0,2.0,3.0,1.0,0.0,5.0,21.0,13,6.0,10.0,5.0,68.8,5.0,7.0,8,29,18.0,1.0,711.0,102.0,26.0,6.0,33.3,12.0,66.7,456.0,18.0,11.0,15.0,11.0,504.0,38.0,1,0,0,8,0.0,0.0,0.0,43.0,13.0,41.9
2024-08-18,14:00,Sun,Premier League,Matchweek 1,Home,W,Brentford,Crystal Palace,2,1,1.6,1.2,46,Christian Nørgaard,4-3-3,3-4-3,9,5,55.6,0.22,0.4,12.5,0.0,0,0,1.6,0.2,0.4,0.4,440.0,394.0,45.0,2.0,3.0,17,14.0,4.0,3.0,0.0,0.0,331.0,1.0,9.0,75.2,6367.0,2592.0,1,0.6,0.6,7.0,22.0,4.0,3.0,31.0,15.0,11.0,1.0,2.0,0.0,0.0,3.0,19.0,10,5.0,10.0,4.0,82.4,3.0,9.0,11,30,20.0,0.0,542.0,87.0,12.0,5.0,31.3,8.0,50.0,318.0,16.0,3.0,9.0,14.0,325.0,31.0,1,0,0,6,0.0,0.0,1.0,47.0,19.0,57.6,1,2,1.2,1.6,54,Marc Guéhi,3-4-3,4-3-3,Match Report,14,6,42.9,0.0,0.0,19.2,1.0,0,0,1.2,0.08,-1.2,-1.2,519.0,472.0,44.0,2.0,1.0,14,18.0,7.0,3.0,0.0,0.0,410.0,3.0,8.0,79.0,6630.0,2142.0,0,0.8,0.6,9.0,36.0,7.0,1.0,32.0,23.0,19.0,1.0,1.0,1.0,0.0,0.0,22.0,13,5.0,12.0,5.0,61.5,5.0,9.0,5,27,29.0,1.0,640.0,55.0,20.0,3.0,16.7,14.0,77.8,316.0,14.0,5.0,9.0,5.0,409.0,31.0,5,0,0,15,0.0,0.0,0.0,49.0,14.0,42.4
2024-08-18,16:30,Sun,Premier League,Matchweek 1,Home,L,Chelsea,Manchester City,0,2,1.0,0.8,48,Enzo Fernández,4-2-3-1,3-2-4-1,10,3,30.0,0.0,0.0,17.1,0.0,0,0,1.0,0.1,-1.0,-1.0,531.0,489.0,40.0,2.0,2.0,18,17.0,4.0,3.0,0.0,0.0,461.0,2.0,3.0,86.8,7768.0,2625.0,0,1.0,0.9,9.0,34.0,11.0,5.0,26.0,20.0,18.0,0.0,1.0,0.0,0.0,0.0,20.0,14,7.0,9.0,4.0,34.8,15.0,7.0,10,30,13.0,1.0,629.0,64.0,24.0,4.0,36.4,7.0,63.6,370.0,16.0,2.0,10.0,9.0,459.0,26.0,1,0,0,12,0.0,0.0,0.0,43.0,3.0,37.5,2,0,0.8,1.0,52,Kevin De Bruyne,3-2-4-1,4-2-3-1,Match Report,11,5,45.5,0.18,0.4,19.1,0.0,0,0,0.8,0.07,1.2,1.2,570.0,528.0,41.0,2.0,1.0,11,18.0,3.0,2.0,0.0,0.0,501.0,1.0,7.0,87.9,8217.0,2491.0,1,0.6,0.9,8.0,29.0,6.0,0.0,32.0,19.0,16.0,0.0,3.0,0.0,0.0,3.0,16.0,9,10.0,4.0,2.0,63.6,4.0,2.0,10,26,18.0,0.0,664.0,76.0,24.0,15.0,50.0,8.0,26.7,385.0,41.0,13.0,8.0,12.0,496.0,32.0,1,0,0,9,0.0,0.0,0.0,41.0,5.0,62.5
2024-08-19,20:00,Mon,Premier League,Matchweek 1,Home,D,Leicester City,Tottenham,1,1,1.0,1.2,30,Jamie Vardy,4-2-3-1,4-3-3,7,3,42.9,0.14,0.33,16.4,0.0,0,0,1.0,0.15,0.0,0.0,313.0,272.0,39.0,3.0,1.0,15,16.0,2.0,0.0,2.0,0.0,237.0,2.0,5.0,75.7,4016.0,1704.0,1,0.9,1.0,5.0,20.0,7.0,4.0,23.0,13.0,9.0,1.0,1.0,1.0,0.0,2.0,22.0,15,16.0,3.0,3.0,45.8,13.0,14.0,10,32,42.0,0.0,454.0,89.0,10.0,7.0,36.8,9.0,47.4,212.0,12.0,2.0,14.0,14.0,235.0,23.0,1,0,0,11,0.0,0.0,0.0,37.0,8.0,47.1,1,1,1.2,1.0,70,Son Heung-min,4-3-3,4-2-3-1,Match Report,15,6,40.0,0.07,0.17,13.7,0.0,0,0,1.2,0.08,-0.2,-0.2,724.0,671.0,52.0,2.0,3.0,28,18.0,13.0,5.0,3.0,0.0,631.0,1.0,18.0,87.2,10258.0,3287.0,1,1.1,2.4,12.0,59.0,19.0,5.0,69.0,30.0,20.0,4.0,1.0,3.0,1.0,2.0,23.0,13,5.0,11.0,7.0,56.3,7.0,7.0,6,29,16.0,0.0,840.0,44.0,58.0,13.0,50.0,11.0,42.3,465.0,24.0,12.0,14.0,11.0,627.0,69.0,1,0,0,12,0.0,0.0,0.0,45.0,9.0,52.9
